"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"7/06/2012";2012;6;"WD2";"Begraasd, B";"ja";"BGR";"nee";NA;0
"7/06/2012";2012;6;"WD2";"Begraasd, A";"ja";"BGR";"nee";NA;0
"7/06/2012";2012;6;"WD2";"Begraasd, D";"nee";"BGR";"nee";NA;1,073473
"7/06/2012";2012;6;"WD2";"Begraasd, C";"ja";"BGR";"nee";NA;0,73951
"7/06/2012";2012;6;"GB2";"Excl, Centrum";"ja";"EXC";"nee";NA;10,98223
"7/06/2012";2012;6;"GB2";"Excl, zone A";"nee";"EXC";"nee";NA;11,38461
"7/06/2012";2012;6;"GB2";"Excl, zone B";"ja";"EXC";"nee";NA;16,43738
"7/06/2012";2012;6;"GB2";"Excl, zone C";"ja";"EXC";"nee";NA;15,11983
"7/06/2012";2012;6;"GB2";"Excl, zone D";"ja";"EXC";"nee";NA;7,822244
"7/06/2012";2012;6;"GB2";"Begraasd, C";"ja";"BGR";"nee";NA;6,460215
"7/06/2012";2012;6;"GB2";"Begraasd, D";"ja";"BGR";"nee";NA;10,04288
"7/06/2012";2012;6;"GB2";"Begraasd, A";"ja";"BGR";"nee";NA;13,96816
"7/06/2012";2012;6;"GB2";"Begraasd, B";"ja";"BGR";"nee";NA;4,136348
"7/06/2012";2012;6;"WD1";"Excl, Centrum";"ja";"EXC";"nee";NA;13,07132
"7/06/2012";2012;6;"WD1";"Excl, zone A";"ja";"EXC";"nee";NA;1,116286
"7/06/2012";2012;6;"WD1";"Excl, zone B";"ja";"EXC";"nee";NA;2,345208
"7/06/2012";2012;6;"WD1";"Excl, zone C";"ja";"EXC";"nee";NA;5,267827
"7/06/2012";2012;6;"WD1";"Excl, zone D";"nee";"EXC";"nee";NA;6,082763
"7/06/2012";2012;6;"WD1";"Begraasd, C";"ja";"BGR";"nee";NA;7,296189
"7/06/2012";2012;6;"WD1";"Begraasd, D";"ja";"BGR";"nee";NA;10,39155
"7/06/2012";2012;6;"WD1";"Begraasd, A";"ja";"BGR";"nee";NA;1,536026
"7/06/2012";2012;6;"WD1";"Begraasd, B";"ja";"BGR";"nee";NA;5,291502
"7/06/2012";2012;6;"GB1";"Excl, Centrum";"nee";"EXC";"nee";NA;4,15
"7/06/2012";2012;6;"GB1";"Excl, zone A";"ja";"EXC";"nee";NA;6,977643
"7/06/2012";2012;6;"GB1";"Excl, zone B";"ja";"EXC";"nee";NA;9,984363
"7/06/2012";2012;6;"GB1";"Excl, zone C";"ja";"EXC";"nee";NA;3,705992
"7/06/2012";2012;6;"GB1";"Excl, zone D";"ja";"EXC";"nee";NA;5,829612
"7/06/2012";2012;6;"GB1";"Begraasd, C";"ja";"BGR";"nee";NA;4,567206
"7/06/2012";2012;6;"GB1";"Begraasd, B";"ja";"BGR";"nee";NA;3,526684
