ID_Exclosure_opname;Datum;jaar;maand;ID_Exclosure;ID_Exclosure_zone;Deelgebied;Vegetatie aanwezig;Begraasd/Niet Begr;Afgebrand 2011;Opmerking;Afstand_m;Hoek_gr;Bedekking mos;Bedekking kale bodem;strooisel ingezameld;bodemstalen ingezameld;H1_cm;H2_cm;H3_cm;H4_cm;H5_cm;H6_cm;H7_cm;H8_cm;H_gemd;Sdev
118;26/09/2011;2011;9;2;Excl, zone A;GB;WAAR;NB;ONWAAR;;0;0;5-10;5-10;ONWAAR;WAAR;12;64;81;88;58;51;52;72,5;60;21,93732
119;26/09/2011;2011;9;2;Excl, zone B;GB;WAAR;NB;ONWAAR;;0;0;80-90;1-5;WAAR;ONWAAR;50;8;16,5;19;37,5;58;0;15;26;19,33423
120;26/09/2011;2011;9;2;Excl, zone C;GB;WAAR;NB;ONWAAR;;0;0;40-50;20-30;WAAR;WAAR;36;23;12;20;19;40;21;28,5;25;8,719366
121;26/09/2011;2011;9;2;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;20-30;5-10;ONWAAR;WAAR;35;19;96;19;95;97;82,5;49;62;32,5667
122;26/09/2011;2011;9;2;Excl, Centrum;GB;WAAR;NB;ONWAAR;;0;0;90-100;nvt;ONWAAR;WAAR;45;32;13,5;13;58;34;18;12;28;15,93725
123;26/09/2011;2011;9;2;Begraasd, A;GB;WAAR;B;ONWAAR;;40,1;142;40-50;1-5;ONWAAR;WAAR;24,5;21;14;10;12;12,5;18,5;35;18;7,787961
124;26/09/2011;2011;9;2;Begraasd, B;GB;WAAR;B;ONWAAR;;56;142;10-20;20-30;ONWAAR;WAAR;12,5;34;23;17;11;18,5;63;38;27;16,28026
125;26/09/2011;2011;9;2;Begraasd, C;GB;WAAR;B;ONWAAR;;45,5;208;nvt;50-60;ONWAAR;WAAR;8;9;6;6;21;9,5;7,5;8;9;4,546633
126;26/09/2011;2011;9;2;Begraasd, D;GB;WAAR;B;ONWAAR;;56;204;20-30;30-40;ONWAAR;WAAR;0;0;7;3;2;4;0;1;2;2,315032
127;26/09/2011;2011;9;3;Excl, zone A;WD;ONWAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
128;26/09/2011;2011;9;3;Excl, zone B;WD;WAAR;NB;ONWAAR;;0;0;1-5;90-100;ONWAAR;WAAR;2;3;3;1,5;2;3,5;1,5;3;2;0,7261844
129;26/09/2011;2011;9;3;Excl, zone C;WD;WAAR;NB;ONWAAR;;0;0;10-20;20-30;ONWAAR;WAAR;9;81;89;2,5;91;66;48;107;62;36,25684
130;26/09/2011;2011;9;3;Excl, zone D;WD;WAAR;NB;ONWAAR;;0;0;5-10;90-100;ONWAAR;WAAR;56;48;0;0;0;0;0;0;13;22,60531
