ID;EXC_ID;BEH_TYP;M;Y;VEG_TYP;ADF;ADL;DS_105;N_DS;NDF;RE;RE_DS;VOCHT_105
264;GB1;EXC;sep;2012;P;35,45;5,92;;;54,75;7,45;;
265;GB1;EXC;sep;2012;S;39,56;9,17;;;67,04;7,79;;
266;GB2;BGR;sep;2012;F;31,11;5,49;;;58,95;7,88;;
267;GB2;EXC;sep;2012;A;;;;;;7,62;;
268;GB2;EXC;sep;2012;F;33,71;5,97;;;61,63;4,72;;
269;LV1;BGR;sep;2012;H;;;;;;4,77;;
270;LV1;BGR;sep;2012;P;40,21;6,50;;;67,88;4,12;;
271;LV1;BGR;sep;2012;S;42,43;7,97;;;73,40;4,20;;
272;LV1;EXC;sep;2012;H;;;;;;5,34;;
273;LV1;EXC;sep;2012;P;43,65;6,68;;;73,02;2,16;;
274;LV1;EXC;sep;2012;S;48,58;7,12;;;79,15;2,17;;
275;LV2;BGR;sep;2012;H;;;;;;10,03;;
276;LV2;BGR;sep;2012;P;;;;;;5,50;;
277;LV2;EXC;sep;2012;H;29,33;13,35;;;44,34;7,45;;
278;LV2;EXC;sep;2012;P;41,08;6,91;;;69,03;2,32;;
279;LV2;EXC;sep;2012;S;44,58;9,76;;;72,70;5,13;;
280;WD1;BGR;sep;2012;H;;;;;;5,31;;
281;WD1;BGR;sep;2012;P;41,80;6,23;;;70,83;4,18;;
282;WD1;EXC;sep;2012;H;33,83;18,44;;;44,64;6,42;;
283;WD1;EXC;sep;2012;P;41,27;6,25;;;69,43;2,63;;
284;WD1;EXC;sep;2012;S;40,72;8,07;;;69,79;5,02;;
285;WD2;BGR;sep;2012;P;;;;;;10,62;;
286;WD2;EXC;sep;2012;A;;;;;;12,03;;
287;WD2;EXC;sep;2012;H;27,58;13,43;;;39,54;6,30;;
288;WD2;EXC;sep;2012;P;43,53;6,12;;;72,25;5,57;;
